,cell_zid,adm_zid,geometry
11,34670,216,"POLYGON ((37.02535090806698 55.16720684668885, 37.02529754234239 55.17169857871536, 37.03314513499102 55.17172887530721, 37.04099274230574 55.1717586668947, 37.04884036404002 55.17178795347579, 37.04889108336874 55.16729620659379, 37.04894178757208 55.16280445634661, 37.04109592986639 55.16277517950016, 37.03325008656928 55.16274539781516, 37.03319761858921 55.16723713824494, 37.02535090806698 55.16720684668885))"
12,34679,216,"POLYGON ((37.09597180986404 55.16746129174678, 37.09592638442817 55.17195306607671, 37.10377410019748 55.17197881755884, 37.11162182841442 55.17200406401953, 37.11946956883246 55.17202880545708, 37.1195123477343 55.1675370185381, 37.11955511468099 55.16304522881469, 37.11170913838181 55.16302049560106, 37.10386317427444 55.16299525753212, 37.10381864346006 55.16748703894864, 37.09597180986404 55.16746129174678))"
13,34681,216,"POLYGON ((37.13524710287956 55.16309317957284, 37.12740110293591 55.16306945607485, 37.11955511468099 55.16304522881469, 37.1195123477343 55.1675370185381, 37.11946956883246 55.17202880545708, 37.12731732121535 55.17205304077329, 37.13516508529589 55.17207677215949, 37.13520609980877 55.16758497836397, 37.13524710287956 55.16309317957284))"
14,34683,216,"POLYGON ((37.15093913688388 55.16313911143821, 37.14309311427606 55.16311639821056, 37.13524710287956 55.16309317957284, 37.13520609980877 55.16758497836397, 37.13516508529589 55.17207677215949, 37.14301285892231 55.17209999851195, 37.1508606456795 55.17212271984042, 37.15089989772166 55.16763091731664, 37.15093913688388 55.16313911143821))"
15,34685,216,"POLYGON ((37.16663121472396 55.16318302439825, 37.15878517044698 55.16316132035069, 37.15093913688388 55.16313911143821, 37.15089989772166 55.16763091731664, 37.1508606456795 55.17212271984042, 37.15870844340522 55.17214493613764, 37.16655625185299 55.17216664740209, 37.16659373948202 55.16767483757656, 37.16663121472396 55.16318302439825))"
16,35016,216,"POLYGON ((37.01744996556412 55.171667777125, 37.01739570255982 55.1761595006659, 37.02524416266962 55.17619030683259, 37.03309263769104 55.17622060846126, 37.03314513499102 55.17172887530721, 37.02529754234239 55.17169857871536, 37.02535090806698 55.16720684668885, 37.01750421245163 55.16717605021437, 37.01744996556412 55.171667777125))"
17,35020,216,"POLYGON ((37.04099274230574 55.1717586668947, 37.04094112738412 55.17625040500162, 37.04878963150227 55.17627969645163, 37.05663814979894 55.17630848280929, 37.06448668203947 55.17633676297614, 37.06453564979338 55.17184501051431, 37.06458460387331 55.1673532541449, 37.05673783713326 55.16732498338251, 37.04889108336874 55.16729620659379, 37.04884036404002 55.17178795347579, 37.04099274230574 55.1717586668947))"
18,35022,216,"POLYGON ((37.08027818098055 55.1674082830859, 37.07243138523381 55.16738102107887, 37.06458460387331 55.1673532541449, 37.06453564979338 55.17184501051431, 37.06448668203947 55.17633676297614, 37.07233522795315 55.17636453914322, 37.08018378826353 55.17639181021545, 37.08023099121842 55.17190004805518, 37.08027818098055 55.1674082830859))"
19,35024,216,"POLYGON ((37.09597180986404 55.16746129174678, 37.08812498895731 55.16743503960918, 37.08027818098055 55.1674082830859, 37.08023099121842 55.17190004805518, 37.08018378826353 55.17639181021545, 37.08803236080813 55.17641857618432, 37.09588094629829 55.17644483705133, 37.09592638442817 55.17195306607671, 37.09597180986404 55.16746129174678))"
20,35370,216,"POLYGON ((37.04099274230574 55.1717586668947, 37.03314513499102 55.17172887530721, 37.03309263769104 55.17622060846126, 37.02524416266962 55.17619030683259, 37.02519076807228 55.18068203213345, 37.03304012571315 55.18071233880008, 37.04088949803128 55.18074214029442, 37.04873888477997 55.18077143661444, 37.04878963150227 55.17627969645163, 37.04094112738412 55.17625040500162, 37.04099274230574 55.1717586668947))"
21,35378,216,"POLYGON ((37.08803236080813 55.17641857618432, 37.08798602731786 55.18091033943765, 37.09583549355347 55.1809366046645, 37.10368497440898 55.18096236471021, 37.11153446773228 55.1809876184701, 37.11157815321299 55.17649584346662, 37.11162182841442 55.17200406401953, 37.10377410019748 55.17197881755884, 37.09592638442817 55.17195306607671, 37.09588094629829 55.17644483705133, 37.08803236080813 55.17641857618432))"
22,35380,216,"POLYGON ((37.12731732121535 55.17205304077329, 37.11946956883246 55.17202880545708, 37.11162182841442 55.17200406401953, 37.11157815321299 55.17649584346662, 37.11153446773228 55.1809876184701, 37.11938397325511 55.18101236813538, 37.12723349074167 55.18103661260786, 37.12727541087689 55.17654482836335, 37.12731732121535 55.17205304077329))"
23,35382,216,"POLYGON ((37.14301285892231 55.17209999851195, 37.13516508529589 55.17207677215949, 37.12731732121535 55.17205304077329, 37.12727541087689 55.17654482836335, 37.12723349074167 55.18103661260786, 37.13508301994524 55.1810603518859, 37.14293256062404 55.18108358541965, 37.14297271538035 55.17659179391473, 37.14301285892231 55.17209999851195))"
24,35384,216,"POLYGON ((37.15870844340522 55.17214493613764, 37.1508606456795 55.17212271984042, 37.14301285892231 55.17209999851195, 37.14297271538035 55.17659179391473, 37.14293256062404 55.18108358541965, 37.15078211252145 55.18110631430398, 37.15863167539577 55.18112853798913, 37.15867006476584 55.17663673846324, 37.15870844340522 55.17214493613764))"
25,35727,216,"POLYGON ((37.02524416266962 55.17619030683259, 37.01739570255982 55.1761595006659, 37.00954725762133 55.17612818886683, 37.00949209780221 55.18061990383986, 37.00943692257275 55.18511161489795, 37.01728713297377 55.18514293710997, 37.02513735855116 55.18517375406989, 37.02519076807228 55.18068203213345, 37.02524416266962 55.17619030683259))"
26,35732,216,"POLYGON ((37.04088949803128 55.18074214029442, 37.040837854248 55.18523387222503, 37.04868812388631 55.18526317231969, 37.05653840770133 55.18529196825051, 37.0643887054589 55.18532025891905, 37.06443770059439 55.18082851262707, 37.06448668203947 55.17633676297614, 37.05663814979894 55.17630848280929, 37.04878963150227 55.17627969645163, 37.04873888477997 55.18077143661444, 37.04088949803128 55.18074214029442))"
27,35734,216,"POLYGON ((37.08018378826353 55.17639181021545, 37.07233522795315 55.17636453914322, 37.06448668203947 55.17633676297614, 37.06443770059439 55.18082851262707, 37.0643887054589 55.18532025891905, 37.0722390169181 55.18534804377514, 37.08008934277846 55.18537532391665, 37.08013657211664 55.18088356901863, 37.08018378826353 55.17639181021545))"
28,35736,216,"POLYGON ((37.08013657211664 55.18088356901863, 37.08008934277846 55.18537532391665, 37.08793968088289 55.18540209878683, 37.09579003002643 55.18542836838085, 37.09583549355347 55.1809366046645, 37.08798602731786 55.18091033943765, 37.08803236080813 55.17641857618432, 37.08018378826353 55.17639181021545, 37.08013657211664 55.18088356901863))"
29,35746,216,"POLYGON ((37.15863167539577 55.18112853798913, 37.15078211252145 55.18110631430398, 37.15074282947692 55.1855981067869, 37.1585932752956 55.18562033416726, 37.16644373184855 55.1856420562629, 37.16648124900028 55.18115025647356, 37.16651875566862 55.17665845333727, 37.15867006476584 55.17663673846324, 37.15863167539577 55.18112853798913))"
30,36090,216,"POLYGON ((36.98594420863874 55.18052292293434, 36.97809494424099 55.18048958527866, 36.97803623764588 55.18498127521688, 36.97018610682765 55.18494742677715, 36.97012650075883 55.18943910716749, 36.97797751464802 55.18947296123547, 36.98582854495359 55.18950630997837, 36.99367959142869 55.18953915339394, 36.99373654826597 55.1850474563709, 36.98588638487425 55.18501461841555, 36.98594420863874 55.18052292293434))"
31,36096,216,"POLYGON ((37.01728713297377 55.18514293710997, 37.01723282541602 55.18963465055793, 37.02508393410062 55.18966547264207, 37.03293505772049 55.189695789388, 37.04078619604142 55.18972559969718, 37.040837854248 55.18523387222503, 37.04088949803128 55.18074214029442, 37.03304012571315 55.18071233880008, 37.02519076807228 55.18068203213345, 37.02513735855116 55.18517375406989, 37.01728713297377 55.18514293710997))"
32,36105,216,"POLYGON ((37.08793968088289 55.18540209878683, 37.08789332148697 55.18989385532853, 37.09574455378531 55.1899201292907, 37.10359580071368 55.18994589790373, 37.11144706010867 55.18997116115938, 37.11149077002529 55.18547939176528, 37.11153446773228 55.1809876184701, 37.10368497440898 55.18096236471021, 37.09583549355347 55.1809366046645, 37.09579003002643 55.18542836838085, 37.08793968088289 55.18540209878683))"
33,36107,216,"POLYGON ((37.12723349074167 55.18103661260786, 37.11938397325511 55.18101236813538, 37.11153446773228 55.1809876184701, 37.11149077002529 55.18547939176528, 37.11144706010867 55.18997116115938, 37.11929833173385 55.18999591795947, 37.1271496153212 55.19002017049524, 37.12719155889468 55.18552839295293, 37.12723349074167 55.18103661260786))"
34,36109,216,"POLYGON ((37.14293256062404 55.18108358541965, 37.13508301994524 55.1810603518859, 37.12723349074167 55.18103661260786, 37.12719155889468 55.18552839295293, 37.1271496153212 55.19002017049524, 37.13500090967622 55.1900439176657, 37.14285221646859 55.19006715947501, 37.14289239463935 55.18557537412337, 37.14293256062404 55.18108358541965))"
35,36111,216,"POLYGON ((37.14289239463935 55.18557537412337, 37.14285221646859 55.19006715947501, 37.15070353449313 55.19008989591867, 37.15855486446123 55.1901121269978, 37.1585932752956 55.18562033416726, 37.15074282947692 55.1855981067869, 37.15078211252145 55.18110631430398, 37.14293256062404 55.18108358541965, 37.14289239463935 55.18557537412337))"
36,36461,216,"POLYGON ((36.98582854495359 55.18950630997837, 36.98577068885653 55.19399799871942, 36.99362261867586 55.19403084649999, 37.00147456440983 55.19406318996343, 37.00932652582562 55.19409502801105, 37.0093817319136 55.18960332313769, 37.00943692257275 55.18511161489795, 37.00158672757432 55.18507978908065, 36.99373654826597 55.1850474563709, 36.99367959142869 55.18953915339394, 36.98582854495359 55.18950630997837))"
37,36463,216,"POLYGON ((37.0093817319136 55.18960332313769, 37.00932652582562 55.19409502801105, 37.01717850268292 55.19412636009246, 37.02503049472144 55.19415718730198, 37.02508393410062 55.18966547264207, 37.01723282541602 55.18963465055793, 37.01728713297377 55.18514293710997, 37.00943692257275 55.18511161489795, 37.0093817319136 55.18960332313769))"
38,36467,216,"POLYGON ((37.03293505772049 55.189695789388, 37.03288250170095 55.19418750908925, 37.0407345233745 55.19421732545222, 37.04858655949513 55.19424663638884, 37.05643860981591 55.19427544189713, 37.05648851573552 55.18978370647953, 37.05653840770133 55.18529196825051, 37.04868812388631 55.18526317231969, 37.040837854248 55.18523387222503, 37.04078619604142 55.18972559969718, 37.03293505772049 55.189695789388))"
39,36469,216,"POLYGON ((37.0722390169181 55.18534804377514, 37.0643887054589 55.18532025891905, 37.05653840770133 55.18529196825051, 37.05648851573552 55.18978370647953, 37.05643860981591 55.19427544189713, 37.06429067410181 55.19430374087864, 37.07214275016501 55.19433153551763, 37.07219089122692 55.18983979132853, 37.0722390169181 55.18534804377514))"
40,36471,216,"POLYGON ((37.08793968088289 55.18540209878683, 37.08008934277846 55.18537532391665, 37.0722390169181 55.18534804377514, 37.07219089122692 55.18983979132853, 37.07214275016501 55.19433153551763, 37.0799948416042 55.19435882472931, 37.08784694625569 55.19438560850499, 37.08789332148697 55.18989385532853, 37.08793968088289 55.18540209878683))"
41,36482,216,"POLYGON ((37.16644373184855 55.1856420562629, 37.1585932752956 55.18562033416726, 37.15855486446123 55.1901121269978, 37.15070353449313 55.19008989591867, 37.15066422948715 55.19458168115673, 37.1585164428933 55.19460391593272, 37.16636866608356 55.1946256452532, 37.17422089976927 55.19464686911944, 37.17425755444914 55.1901550730429, 37.16640620420944 55.19013385270546, 37.16644373184855 55.1856420562629))"
42,36832,216,"POLYGON ((36.96221499748219 55.19389641962935, 36.96215447451524 55.19838808810827, 36.97000723861123 55.1984224589273, 36.97786001938314 55.19845632425554, 36.98571281659807 55.19848968299419, 36.98577068885653 55.19399799871942, 36.98582854495359 55.18950630997837, 36.97797751464802 55.18947296123547, 36.97012650075883 55.18943910716749, 36.97006687801971 55.19393078473355, 36.96221499748219 55.19389641962935))"
43,36839,216,"POLYGON ((37.03293505772049 55.189695789388, 37.02508393410062 55.18966547264207, 37.02503049472144 55.19415718730198, 37.01717850268292 55.19412636009246, 37.0171241628385 55.19861806680262, 37.02497703847798 55.19864889913877, 37.03282992906416 55.19867922596865, 37.04068283434999 55.19870904729018, 37.0407345233745 55.19421732545222, 37.03288250170095 55.19418750908925, 37.03293505772049 55.189695789388))"
44,36847,216,"POLYGON ((37.0799948416042 55.19435882472931, 37.07994757263862 55.19885057010598, 37.08780056093402 55.19887735833581, 37.09565356219967 55.19890364104374, 37.10350657618853 55.19892941822799, 37.10355119420759 55.19443765974101, 37.10359580071368 55.18994589790373, 37.09574455378531 55.1899201292907, 37.08789332148697 55.18989385532853, 37.08784694625569 55.19438560850499, 37.0799948416042 55.19435882472931))"
45,36849,216,"POLYGON ((37.11929833173385 55.18999591795947, 37.11144706010867 55.18997116115938, 37.10359580071368 55.18994589790373, 37.10355119420759 55.19443765974101, 37.10350657618853 55.19892941822799, 37.11135960265349 55.19895468988678, 37.11921264134752 55.19897945601839, 37.11925549205543 55.19448768811496, 37.11929833173385 55.18999591795947))"
46,36851,216,"POLYGON ((37.13500090967622 55.1900439176657, 37.1271496153212 55.19002017049524, 37.11929833173385 55.18999591795947, 37.11925549205543 55.19448768811496, 37.11921264134752 55.19897945601839, 37.12706569202352 55.19900371662114, 37.13491875444946 55.19902747004863, 37.134959837802 55.19453569580615, 37.13500090967622 55.1900439176657))"
47,36853,216,"POLYGON ((37.15070353449313 55.19008989591867, 37.14285221646859 55.19006715947501, 37.13500090967622 55.1900439176657, 37.134959837802 55.19453569580615, 37.13491875444946 55.19902747004863, 37.14277182834787 55.19905071958867, 37.15062491348701 55.19907346359498, 37.15066422948715 55.19458168115673, 37.15070353449313 55.19008989591867))"
48,37222,216,"POLYGON ((36.97786001938314 55.19845632425554, 36.97780124520079 55.20294800015272, 36.9856549262196 55.20298136553592, 36.99350862342642 55.20301422533969, 37.00136233658787 55.2030465784653, 37.0014184573809 55.19855488616815, 37.00147456440983 55.19406318996343, 36.99362261867586 55.19403084649999, 36.98577068885653 55.19399799871942, 36.98571281659807 55.19848968299419, 36.97786001938314 55.19845632425554))"
49,37224,216,"POLYGON ((37.01717850268292 55.19412636009246, 37.00932652582562 55.19409502801105, 37.00147456440983 55.19406318996343, 37.0014184573809 55.19855488616815, 37.00136233658787 55.2030465784653, 37.00921606542921 55.20307842710345, 37.01706980971719 55.20310977015551, 37.0171241628385 55.19861806680262, 37.01717850268292 55.19412636009246))"
50,37229,216,"POLYGON ((37.03282992906416 55.19867922596865, 37.03277734364462 55.20317093949283, 37.04063113278977 55.2032007657739, 37.04848493640545 55.20323008536405, 37.05633875421947 55.20325890045423, 37.05638868804458 55.1987671723036, 37.05643860981591 55.19427544189713, 37.04858655949513 55.19424663638884, 37.0407345233745 55.19421732545222, 37.04068283434999 55.19870904729018, 37.03282992906416 55.19867922596865))"
51,37231,216,"POLYGON ((37.07214275016501 55.19433153551763, 37.06429067410181 55.19430374087864, 37.05643860981591 55.19427544189713, 37.05638868804458 55.1987671723036, 37.05633875421947 55.20325890045423, 37.06419258599731 55.20328720994598, 37.0720464314977 55.20331501328911, 37.07209459756054 55.19882327635609, 37.07214275016501 55.19433153551763))"
52,37233,216,"POLYGON ((37.07209459756054 55.19882327635609, 37.0720464314977 55.20331501328911, 37.07990029046162 55.20334231157824, 37.0877541626479 55.20336910426322, 37.08780056093402 55.19887735833581, 37.07994757263862 55.19885057010598, 37.0799948416042 55.19435882472931, 37.07214275016501 55.19433153551763, 37.07209459756054 55.19882327635609))"
53,37243,216,"POLYGON ((37.14277182834787 55.19905071958867, 37.14273161742624 55.20354249489651, 37.15058558649332 55.20356524268541, 37.15843956751684 55.20358748485764, 37.16629355833244 55.20360922140621, 37.16633111745769 55.1991174350028, 37.16636866608356 55.1946256452532, 37.1585164428933 55.19460391593272, 37.15066422948715 55.19458168115673, 37.15062491348701 55.19907346359498, 37.14277182834787 55.19905071958867))"
54,37610,216,"POLYGON ((36.97786001938314 55.19845632425554, 36.97000723861123 55.1984224589273, 36.96215447451524 55.19838808810827, 36.9620939327158 55.2028797526571, 36.96203337589667 55.20737141438935, 36.96988790785062 55.20740579664196, 36.97774245649322 55.20743967323563, 36.97780124520079 55.20294800015272, 36.97786001938314 55.19845632425554))"
55,37617,216,"POLYGON ((37.00921606542921 55.20307842710345, 37.00916081301919 55.20757012187877, 37.01701544139654 55.20760147014374, 37.02487008497921 55.20763231273639, 37.03272474351997 55.20766264965463, 37.03277734364462 55.20317093949283, 37.03282992906416 55.19867922596865, 37.02497703847798 55.19864889913877, 37.0171241628385 55.19861806680262, 37.01706980971719 55.20310977015551, 37.00921606542921 55.20307842710345))"
56,37626,216,"POLYGON ((37.07990029046162 55.20334231157824, 37.07985299505663 55.20783405024275, 37.08770775138105 55.20786084738392, 37.09556252068564 55.20788713883501, 37.1034173027231 55.20791292459425, 37.10346194569891 55.20342117281351, 37.10350657618853 55.19892941822799, 37.09565356219967 55.19890364104374, 37.08780056093402 55.19887735833581, 37.0877541626479 55.20336910426322, 37.07990029046162 55.20334231157824))"
57,37628,216,"POLYGON ((37.11921264134752 55.19897945601839, 37.11135960265349 55.19895468988678, 37.10350657618853 55.19892941822799, 37.10346194569891 55.20342117281351, 37.1034173027231 55.20791292459425, 37.11127209724623 55.20793820465989, 37.11912690401819 55.20796297793373, 37.11916977867345 55.20347121892575, 37.11921264134752 55.19897945601839))"
58,37630,216,"POLYGON ((37.13491875444946 55.19902747004863, 37.12706569202352 55.19900371662114, 37.11921264134752 55.19897945601839, 37.11916977867345 55.20347121892575, 37.11912690401819 55.20796297793373, 37.1269817227706 55.207987246607, 37.13483655326687 55.20801100958157, 37.13487765960421 55.20351924148979, 37.13491875444946 55.19902747004863))"
59,37632,216,"POLYGON ((37.13487765960421 55.20351924148979, 37.13483655326687 55.20801100958157, 37.14269139525972 55.20803426685583, 37.15054624850669 55.20805701787994, 37.15058558649332 55.20356524268541, 37.14273161742624 55.20354249489651, 37.14277182834787 55.19905071958867, 37.13491875444946 55.19902747004863, 37.13487765960421 55.20351924148979))"
60,38004,216,"POLYGON ((36.96988790785062 55.20740579664196, 36.96982821743686 55.21189746071563, 36.97768365038561 55.21193134294394, 36.98553909978206 55.21196471942689, 36.99339456539282 55.21199758906577, 36.99345160285548 55.20750590943697, 36.99350862342642 55.20301422533969, 36.9856549262196 55.20298136553592, 36.97780124520079 55.20294800015272, 36.97774245649322 55.20743967323563, 36.96988790785062 55.20740579664196))"
61,38006,216,"POLYGON ((37.00921606542921 55.20307842710345, 37.00136233658787 55.2030465784653, 36.99350862342642 55.20301422533969, 36.99345160285548 55.20750590943697, 36.99339456539282 55.21199758906577, 37.00125004694254 55.21202995405124, 37.00910554419801 55.21206181328459, 37.00916081301919 55.20757012187877, 37.00921606542921 55.20307842710345))"
62,38011,216,"POLYGON ((37.02487008497921 55.20763231273639, 37.02481658580231 55.2121240139419, 37.03267212869105 55.21215435590602, 37.04052768629627 55.21218419210953, 37.04838325837063 55.21221352255041, 37.04843410448686 55.20772180645957, 37.04848493640545 55.20323008536405, 37.04063113278977 55.2032007657739, 37.03277734364462 55.20317093949283, 37.03272474351997 55.20766264965463, 37.02487008497921 55.20763231273639))"
63,38013,216,"POLYGON ((37.06419258599731 55.20328720994598, 37.05633875421947 55.20325890045423, 37.04848493640545 55.20323008536405, 37.04843410448686 55.20772180645957, 37.04838325837063 55.21221352255041, 37.05623884466679 55.21224234722666, 37.06409444494943 55.21227066503982, 37.06414352233725 55.2077789388977, 37.06419258599731 55.20328720994598))"
64,38015,216,"POLYGON ((37.07990029046162 55.20334231157824, 37.0720464314977 55.20331501328911, 37.06419258599731 55.20328720994598, 37.06414352233725 55.2077789388977, 37.06409444494943 55.21227066503982, 37.071950058947 55.21229847818089, 37.07980568642437 55.21232578555151, 37.07985299505663 55.20783405024275, 37.07990029046162 55.20334231157824))"
65,38026,216,"POLYGON ((37.14269139525972 55.20803426685583, 37.1426511618489 55.21252603491863, 37.15050689951332 55.21254879027526, 37.15836264914281 55.21257103984703, 37.16621840857237 55.21259278362695, 37.1662559887084 55.20810100391537, 37.16629355833244 55.20360922140621, 37.15843956751684 55.20358748485764, 37.15058558649332 55.20356524268541, 37.15054624850669 55.20805701787994, 37.14269139525972 55.20803426685583))"
66,38408,216,"POLYGON ((37.00125004694254 55.21202995405124, 37.00119387903004 55.21652163789253, 37.00905026088397 55.21655350078059, 37.01690665914059 55.21658485947873, 37.02476307165523 55.21661571233249, 37.02481658580231 55.2121240139419, 37.02487008497921 55.20763231273639, 37.01701544139654 55.20760147014374, 37.00916081301919 55.20757012187877, 37.00910554419801 55.21206181328459, 37.00125004694254 55.21202995405124))"
67,38417,216,"POLYGON ((37.071950058947 55.21229847818089, 37.07190185245474 55.21679020559175, 37.07975836456558 55.21681751695642, 37.08761488990802 55.21684432301287, 37.09547142824053 55.21687062321106, 37.0955169808291 55.21237888297397, 37.09556252068564 55.20788713883501, 37.08770775138105 55.20786084738392, 37.07985299505663 55.20783405024275, 37.07980568642437 55.21232578555151, 37.071950058947 55.21229847818089))"
68,38419,216,"POLYGON ((37.11127209724623 55.20793820465989, 37.1034173027231 55.20791292459425, 37.09556252068564 55.20788713883501, 37.0955169808291 55.21237888297397, 37.09547142824053 55.21687062321106, 37.10332797931567 55.21689641754917, 37.11118454288595 55.21692170602544, 37.11122832619557 55.21242995619616, 37.11127209724623 55.20793820465989))"
69,38421,216,"POLYGON ((37.1269817227706 55.207987246607, 37.11912690401819 55.20796297793373, 37.11127209724623 55.20793820465989, 37.11122832619557 55.21242995619616, 37.11118454288595 55.21692170602544, 37.11904111870397 55.21694648863812, 37.12689770652226 55.21697076538556, 37.1269397205231 55.21247900739709, 37.1269817227706 55.207987246607))"
70,38423,216,"POLYGON ((37.14269139525972 55.20803426685583, 37.13483655326687 55.20801100958157, 37.1269817227706 55.207987246607, 37.1269397205231 55.21247900739709, 37.12689770652226 55.21697076538556, 37.13475430610341 55.21699453516958, 37.14261091717967 55.21701780018152, 37.1426511618489 55.21252603491863, 37.14269139525972 55.20803426685583))"
71,38807,216,"POLYGON ((36.96191221048608 55.2163547277306, 36.96185160284788 55.22084637879595, 36.96970878844311 55.22088077820846, 36.97756599074608 55.22091467170967, 36.9854232095093 55.2209480592973, 36.98548116274533 55.21645639132066, 36.98553909978206 55.21196471942689, 36.97768365038561 55.21193134294394, 36.96982821743686 55.21189746071563, 36.96976851128693 55.21638912142188, 36.96191221048608 55.2163547277306))"
72,38809,216,"POLYGON ((37.00125004694254 55.21202995405124, 36.99339456539282 55.21199758906577, 36.98553909978206 55.21196471942689, 36.98548116274533 55.21645639132066, 36.9854232095093 55.2209480592973, 36.99328044448529 55.22098094096906, 37.00113769542651 55.22101331672269, 37.00119387903004 55.21652163789253, 37.00125004694254 55.21202995405124))"
73,38814,216,"POLYGON ((37.01690665914059 55.21658485947873, 37.01685224518705 55.2210765493741, 37.02470954253882 55.22110740736014, 37.03256685486579 55.22113775941941, 37.04042418192049 55.22116760554984, 37.04047594134563 55.21667590051003, 37.04052768629627 55.21218419210953, 37.03267212869105 55.21215435590602, 37.02481658580231 55.2121240139419, 37.02476307165523 55.21661571233249, 37.01690665914059 55.21658485947873))"
74,38816,216,"POLYGON ((37.05623884466679 55.21224234722666, 37.04838325837063 55.21221352255041, 37.04052768629627 55.21218419210953, 37.04047594134563 55.21667590051003, 37.04042418192049 55.22116760554984, 37.04828152346779 55.22119694465288, 37.05613887923512 55.22122577891949, 37.05618886894689 55.2167340642041, 37.05623884466679 55.21224234722666))"
75,38818,216,"POLYGON ((37.071950058947 55.21229847818089, 37.06409444494943 55.21227066503982, 37.05623884466679 55.21224234722666, 37.05618886894689 55.2167340642041, 37.05613887923512 55.22122577891949, 37.06399624898759 55.22125410725123, 37.07185363248357 55.22128192909793, 37.07190185245474 55.21679020559175, 37.071950058947 55.21229847818089))"
